county,sub_county,date,water_access_pct,sanitation_access_pct,handwashing_facilities_pct,safe_disposal_sanitation_pct,basic_drinking_water_pct,hygiene_promotion_coverage,community_led_total_sanitation,school_wash_access
Nairobi,Westlands,2025-03-01 23:22:43.086192,60.80789599257019,49.93718954426548,42.7773223486299,80.52457046738593,47.86785926148955,56.282092524682106,54.62367293051119,38.40491803450071
Nairobi,Westlands,2025-04-01 23:22:43.086192,49.35484553858565,84.99850186541485,72.34234063574557,37.39117982131251,46.29404988451492,69.15550801868318,50.76296701474329,73.86590065142693
Nairobi,Westlands,2025-05-01 23:22:43.086192,63.34718687967099,90.94655325590415,52.37460525133956,72.06625208850085,57.422634478501166,79.73684927861451,24.235149966364272,45.39047326549051
Nairobi,Westlands,2025-06-01 23:22:43.086192,88.18872752322571,53.05592516348808,28.583431004663357,48.60584468274426,55.305284460018456,63.98331886518869,48.02170487001737,48.92888141164293
Nairobi,Westlands,2025-07-01 23:22:43.086192,64.3257921331552,84.70696706664677,65.55570077598964,66.67846260902839,86.38811503800906,49.63990627834272,56.80742074105302,41.65967028326805
Nairobi,Westlands,2025-08-01 23:22:43.086192,46.51885008266177,90.41125923257842,76.57453607294387,42.053246650676236,68.12289892835497,33.219685729806116,46.41623203781605,41.72870991538375
Nairobi,Westlands,2025-09-01 23:22:43.086192,90.27115225949359,81.28494515283086,57.381870890966425,60.9086819157647,51.43888512755027,48.162512740359226,53.07416267842738,37.33140092061861
Nairobi,Westlands,2025-10-01 23:22:43.086192,79.69238402856124,60.30536108961227,59.542532707605446,38.46752445824765,49.04606460023263,44.14536446023249,52.64710255196326,44.967313661864935
Nairobi,Westlands,2025-11-01 23:22:43.086192,42.148029854916714,53.992891672211556,64.12993307720237,69.03463777431003,45.3827832218018,74.18190745442385,56.60367539108171,43.58412099942435
Nairobi,Westlands,2025-12-01 23:22:43.086192,94.59299748392121,54.34427721358479,42.59589835582072,82.73585807992896,89.73952653343572,75.44750008443236,10.975130974442743,47.814360081642235
Nairobi,Westlands,2026-01-01 23:22:43.086192,92.10363028653427,37.73474262481286,79.61419714182287,41.71269759855605,48.88472683319178,39.13788485974416,24.07476215529219,42.57235862088347
Nairobi,Westlands,2026-02-01 23:22:43.086192,79.93587887202432,62.57361092462279,59.268232992285846,33.73137077684062,86.94129110860437,73.48131045882539,50.0388605436056,79.55401272929473
Nairobi,Dagoretti,2025-03-01 23:22:43.086192,61.51698133170082,46.28144714236963,52.721729238165054,30.968134042305064,73.99208949234003,76.21084848371177,37.2848447745415,54.94853948061161
Nairobi,Dagoretti,2025-04-01 23:22:43.086192,51.97842283505875,89.12478073521757,64.18841669326935,73.10433113635509,73.20817917596068,59.792278617627574,17.729984966122856,61.254710515446064
Nairobi,Dagoretti,2025-05-01 23:22:43.086192,75.39157007206936,36.34633844430345,29.94250738841956,69.28810193084956,78.21841933277886,57.51750026060592,11.443181396653973,58.82104569470792
Nairobi,Dagoretti,2025-06-01 23:22:43.086192,67.3544106942305,49.669133480053716,65.15957459869519,71.36142039130064,53.68013617401161,33.508781471441864,38.3427910171025,34.15877667702739
Nairobi,Dagoretti,2025-07-01 23:22:43.086192,78.44420632436257,59.58193196662754,29.814661074584208,83.10416924956688,89.3158077838398,49.44300978041341,10.342040804507382,57.69360650334296
Nairobi,Dagoretti,2025-08-01 23:22:43.086192,92.14472660748531,70.3709967487265,25.72625418188979,74.64501728957308,95.24836169396069,38.255656985619936,60.24728547526327,58.39785644036049
