county,sub_county,date,population_under_5,nutrition_program_coverage,stunting_rate,wasting_rate,underweight_rate,exclusive_breastfeeding_rate,mmf_complementarity,mdd_diversity,micronutrient_supplementation_rate
Nairobi,Westlands,2025-03-01 23:22:43.086192,4337,82.24657467290959,22.129642580146182,9.626238790167124,27.65256625067809,41.60199025736155,73.85739628832509,39.80121201080394,66.20159226670509
Nairobi,Westlands,2025-04-01 23:22:43.086192,6588,70.99857968053402,15.61819741086155,17.3236129976687,20.821237676836716,30.31569487485698,40.935888941734746,84.43671478298076,47.8181132858748
Nairobi,Westlands,2025-05-01 23:22:43.086192,13093,30.878970878863687,19.809265984658737,13.104294250445385,15.103378381997182,24.862842310882154,29.033168033304182,59.74405528268542,46.836386826330866
Nairobi,Westlands,2025-06-01 23:22:43.086192,10313,39.31267484069086,35.10191530804164,18.491725157605963,16.68381969699609,34.466016449358456,35.929997706713166,35.22496152700174,89.70118130932116
Nairobi,Westlands,2025-07-01 23:22:43.086192,2549,31.014974490101764,24.304122033680322,12.366891702159215,34.819280704742084,44.52236951048823,69.22886640521367,49.331160418408786,83.53565257011212
Nairobi,Westlands,2025-08-01 23:22:43.086192,11040,68.96456164831466,41.142973130501375,11.934511714014794,17.75479164751696,60.18765007577873,46.67423956970073,52.84993665389371,50.270361117998746
Nairobi,Westlands,2025-09-01 23:22:43.086192,13280,44.69570430963313,42.18562766635084,5.368556421885675,14.639671229761007,65.07088177758783,57.26736308628473,77.73727383794682,48.77404869423859
Nairobi,Westlands,2025-10-01 23:22:43.086192,7262,87.89544518679367,29.37647553583215,10.411064987544998,27.73992991868826,42.62710541035384,49.1769814102184,71.07210402529114,53.616865326682124
Nairobi,Westlands,2025-11-01 23:22:43.086192,3929,79.61528393569043,29.531136032830375,10.367801702027112,15.862360857976748,43.37593137482281,42.803028344298454,37.14762320085804,50.315436385465844
Nairobi,Westlands,2025-12-01 23:22:43.086192,7779,46.34876458735457,32.2477282727435,14.516413420674745,28.246200898372393,49.29154790724299,44.662483893840715,64.0474553384929,85.42523969443891
Nairobi,Westlands,2026-01-01 23:22:43.086192,14851,55.552072222918014,28.925696533716888,21.143560133899758,12.049158320473236,59.35439319337738,40.450195360912204,60.06776534813284,70.21482111581179
Nairobi,Westlands,2026-02-01 23:22:43.086192,2828,80.87432500089099,38.98647329347115,19.374950769293413,24.611200482154352,29.312932806775603,29.896037518756042,63.75438191617742,74.91883093670215
Nairobi,Dagoretti,2025-03-01 23:22:43.086192,2764,90.80075260634459,26.697739572690594,17.408933121775732,15.331381046325193,63.4736117529744,37.377953219986466,45.00003680328629,84.4250033280957
Nairobi,Dagoretti,2025-04-01 23:22:43.086192,14056,90.59454667096362,35.23878476271935,24.868142138384215,27.93744145920539,21.0636578985095,55.930697551433575,72.72506976781297,67.01869643947522
Nairobi,Dagoretti,2025-05-01 23:22:43.086192,13141,75.0766962012135,39.137162960515326,23.74025980009428,33.12079296773461,25.070213409672697,77.66590525306437,79.13367929890202,85.50084345828051
Nairobi,Dagoretti,2025-06-01 23:22:43.086192,14413,55.323954485421226,34.232052803391014,9.740673838705487,27.466326738424872,33.54487904559825,55.38458595162439,64.32389236378347,86.89905093195193
Nairobi,Dagoretti,2025-07-01 23:22:43.086192,5443,61.806722439088446,36.17624747137812,11.255309254854795,16.852813306987773,34.28003186089441,31.48491296626946,35.65115589638736,69.21695590341747
Nairobi,Dagoretti,2025-08-01 23:22:43.086192,2485,50.78673168325795,20.872435205634666,18.31466809926038,17.241199658426794,50.658372503896054,43.736583930821666,63.42828774083851,75.09451744272164
Nairobi,Dagoretti,2025-09-01 23:22:43.086192,11178,68.80147284709301,19.925773270217658,15.662231462326197,23.10529821744776,23.240252682125078,35.86878052531084,68.07140044892492,59.0144151766575
Nairobi,Dagoretti,2025-10-01 23:22:43.086192,4588,62.599257657444326,44.89392183383989,7.71718945643139,33.42267953805688,27.16681673036808,53.46121161434319,35.795689979831096,41.61004395913155
Nairobi,Dagoretti,2025-11-01 23:22:43.086192,7314,30.583894329530022,44.791533250019924,10.313769878372073,25.868159700293493,29.822783696470843,61.15734831492068,45.845193090603644,55.936681098795255
Nairobi,Dagoretti,2025-12-01 23:22:43.086192,8777,65.62870744628779,31.639192663592336,13.407609137175163,25.409419873978322,34.417763531990396,52.05891200769483,39.99977008780513,75.73258501119855
Nairobi,Dagoretti,2026-01-01 23:22:43.086192,11597,41.610196710695234,31.391036150369583,8.462494466224754,13.985475816226494,30.24474920454828,55.10741154895927,69.99477809715125,44.98811988876805
Nairobi,Dagoretti,2026-02-01 23:22:43.086192,14490,71.41689514505245,20.320828321390504,5.203170518207967,27.49689943322387,62.78383498957764,44.36228293174159,36.7573124763039,75.76907615377783
Nairobi,Kamukunji,2025-03-01 23:22:43.086192,7151,72.08509131387942,23.270182785847872,9.769652030367126,18.839052678845572,23.652926283589252,67.32520927602509,39.70661732749424,67.42077392815735
Nairobi,Kamukunji,2025-04-01 23:22:43.086192,12307,71.45157893276797,32.805872683250215,14.175408656713424,26.874569964353277,26.169747979784802,30.780033376541425,57.65369852030609,49.781851714366155
Nairobi,Kamukunji,2025-05-01 23:22:43.086192,10259,31.95342854029831,20.716915990217743,13.249332620970335,15.74167979528686,69.68562743623296,47.18984664732244,62.885264112064476,88.02346586821632
Nairobi,Kamukunji,2025-06-01 23:22:43.086192,7904,54.467586388596374,20.15769036706664,8.383152111977841,24.268097936560043,38.49317580707663,53.18153073306232,74.59145523630272,84.17785200248028
