county,sub_county,date,poverty_rate,household_income_index,food_security_index,market_accessibility,agricultural_productivity
Nairobi,Westlands,2025-03-01 23:20:11.517159,68.06251304259337,89.88542241342607,58.063876073078966,68.06521027764772,50.35064859281218
Nairobi,Westlands,2025-04-01 23:20:11.517159,66.76726723102189,61.733075030161956,76.70178266391636,63.59884277616259,48.535369631669624
Nairobi,Westlands,2025-05-01 23:20:11.517159,66.10902307641574,45.78898612408638,75.80753678065535,62.64074229712078,75.25408428349346
Nairobi,Westlands,2025-06-01 23:20:11.517159,34.7333974258208,31.467769457300253,79.82211805892022,58.757439871690494,75.71468231468796
Nairobi,Westlands,2025-07-01 23:20:11.517159,50.16448168867281,85.54967707118043,45.97940337158064,46.88511656481471,57.92747228146311
Nairobi,Westlands,2025-08-01 23:20:11.517159,61.40453027670802,46.43570274262136,58.731981968293184,58.846494831709194,52.21264870448376
Nairobi,Westlands,2025-09-01 23:20:11.517159,63.09587151428191,37.70451604816637,47.5209672809565,61.067369870602604,66.82072026308191
Nairobi,Westlands,2025-10-01 23:20:11.517159,65.14264050841369,75.42226506918476,65.16059089914485,62.38130938647059,65.2660777269751
Nairobi,Westlands,2025-11-01 23:20:11.517159,28.54674746869481,79.06376496648085,56.75623534340351,84.53101976350015,81.230639696224
Nairobi,Westlands,2025-12-01 23:20:11.517159,49.31527400094888,68.24111162678,39.59500721374887,69.86682418223931,89.16093154977787
Nairobi,Westlands,2026-01-01 23:20:11.517159,56.289943265958385,70.97725426683327,56.978925387901896,53.99061057753609,61.818574103206444
Nairobi,Westlands,2026-02-01 23:20:11.517159,60.17403792186,32.80474402441703,72.46614735117981,63.75402523928454,64.01017725893138
Nairobi,Dagoretti,2025-03-01 23:20:11.517159,45.22965578146399,47.30809135998744,51.22976521394426,75.0220770500703,81.40078186351455
Nairobi,Dagoretti,2025-04-01 23:20:11.517159,65.12626467978282,73.99129173525826,78.36098215241003,40.02945917434702,52.63489138289811
