county,sub_county,date,water_access_pct,sanitation_access_pct,handwashing_facilities_pct,safe_disposal_sanitation_pct,basic_drinking_water_pct,hygiene_promotion_coverage,community_led_total_sanitation,school_wash_access
Nairobi,Westlands,2024-03-01 23:18:21.952240,63.803962942484546,51.338660220594576,70.96435749097793,45.62869347664609,55.592563124687565,53.24623232198356,49.1531246617148,83.19572707705962
Nairobi,Westlands,2024-04-01 23:18:21.952240,75.89660472134076,42.54053961835585,80.47789379280567,67.42355440075323,56.24717119285363,61.728249892332755,14.353671192110024,70.50225751780235
Nairobi,Westlands,2024-05-01 23:18:21.952240,49.68916834964334,79.31891779742806,46.97527611136111,43.620890353456396,93.28443355956996,30.83415467936754,59.169233632568336,81.60927912523111
Nairobi,Westlands,2024-06-01 23:18:21.952240,84.68096670178463,79.29037967509129,59.34662651450501,32.296283108103616,47.63322442267467,40.31142901190822,64.0065107982655,53.331371187299624
Nairobi,Westlands,2024-07-01 23:18:21.952240,89.23390495928578,79.30612735874116,55.206631636709275,54.933322554489685,68.1216657350883,20.69333763335266,26.92334168914176,83.24115519132788
Nairobi,Westlands,2024-08-01 23:18:21.952240,75.35468563757206,85.47227112556388,43.66851203817902,48.78263687332203,89.6501534116782,55.9946279973152,56.380151645046766,49.969448926695605
Nairobi,Westlands,2024-09-01 23:18:21.952240,86.54799556723162,52.82135653414366,37.930452291603,50.767781524091234,63.823187379037975,40.672482099453646,42.21025116558581,60.4516949116198
Nairobi,Westlands,2024-10-01 23:18:21.952240,40.08962131816568,93.64466546847532,68.80690353024445,60.393739341816115,57.83150471699895,21.024856501244308,49.610844979824726,43.03762904059591
Nairobi,Westlands,2024-11-01 23:18:21.952240,60.18299546269431,64.9488722586392,25.481463943290144,84.11402230365836,87.01355002538435,36.00049938818911,48.67633375473673,73.17091100188583
Nairobi,Westlands,2024-12-01 23:18:21.952240,54.77575159208112,85.1212298506764,60.24053955761012,83.77889247797707,68.12342523989551,32.42328854597483,44.937853786571495,69.21766586892002
Nairobi,Westlands,2025-01-01 23:18:21.952240,51.763705275553306,53.87070458116911,49.02074344295694,58.62934000709589,66.09877424378799,62.43154180808161,43.667985142725456,50.42453239876511
Nairobi,Westlands,2025-02-01 23:18:21.952240,86.0024357020183,36.940416739762995,63.31268219281098,57.3920967896001,47.693192955387495,30.307930217161083,10.110842707251562,78.13183680644465
Nairobi,Westlands,2025-03-01 23:18:21.952240,43.87553698160693,59.26987906143591,61.57201094929197,69.72556380827118,83.15277969070743,50.53858442905725,18.177010846602382,56.451110505096686
Nairobi,Westlands,2025-04-01 23:18:21.952240,91.35609826385333,50.828961917373285,61.26566602072432,38.9240473608429,58.29583060592492,47.382932553294765,44.457120968972994,62.920422402969564
Nairobi,Westlands,2025-05-01 23:18:21.952240,62.877580785937354,75.15691184740545,44.7914433900777,32.80326364001944,47.72114794889202,69.99558103014458,27.47645158716168,66.96389557087986
Nairobi,Westlands,2025-06-01 23:18:21.952240,41.9641557673076,50.56706096265013,59.9210608354882,87.49132632205591,95.59283135204586,36.96520483494268,51.71233491120993,70.57459359444857
Nairobi,Westlands,2025-07-01 23:18:21.952240,47.675185423445406,67.05557694580433,83.1063451525171,86.69716080405082,85.06965518181937,36.129277698099514,47.3611602896606,55.13749881520404
Nairobi,Westlands,2025-08-01 23:18:21.952240,71.22841923418108,74.70687061296005,74.05880688858906,79.54375889675347,72.49142966639579,69.14639696989667,55.994651715679645,49.75405066844295
Nairobi,Westlands,2025-09-01 23:18:21.952240,64.61421304959322,43.6248110135903,39.69454327884485,63.83330711165101,89.09664665179467,41.576981841744114,23.65828798825304,84.41596428906499
Nairobi,Westlands,2025-10-01 23:18:21.952240,40.647157124415095,82.4427178211011,43.65656790937654,42.70822721393809,46.27693631941665,75.35756435668105,45.85213063660617,54.470512383461816
Nairobi,Westlands,2025-11-01 23:18:21.952240,88.7414088289992,55.99167338665287,78.5062176590377,62.38894160985276,69.1122111550242,77.7909528039436,48.83379932392706,74.40430527897249
Nairobi,Westlands,2025-12-01 23:18:21.952240,63.16883655068848,84.08664054347773,32.244424796406825,86.59951696244528,96.33660498485796,29.859928904504176,37.52559161584073,49.474641440788346
Nairobi,Westlands,2026-01-01 23:18:21.952240,52.78799112284411,52.027438959875525,25.665155368512455,87.91446508289721,71.91965286922422,27.272347001165706,49.41940824792154,31.683983980679656
Nairobi,Westlands,2026-02-01 23:18:21.952240,80.98193807161184,58.011678485499296,53.01467974923355,58.51496314261157,66.38639908708359,68.29951736328758,23.762380273458177,32.42176397532364
Nairobi,Dagoretti,2024-03-01 23:18:21.952240,40.09512861516843,75.52707016462168,42.08176208096913,60.47285316203492,66.9356598357755,76.14316623728178,46.09371771149522,41.37975342799224
Nairobi,Dagoretti,2024-04-01 23:18:21.952240,61.70772613473217,44.182385230041106,54.66404153508367,30.19368232577608,45.63995477758137,22.845719138892747,31.623052508365905,34.62106812746639
Nairobi,Dagoretti,2024-05-01 23:18:21.952240,56.400149080043875,40.12650894404938,25.75966216343672,36.12872562525269,72.72535116999885,71.60234717677562,37.66758526202662,74.5451089579337
