county,sub_county,date,acute_malnutrition_cases,severe_acute_malnutrition_cases,moderate_acute_malnutrition_cases,admission_rate,cure_rate,death_rate,default_rate,non_cured_rate,coverage_rate
Nairobi,Westlands,2024-03-01 23:18:21.952240,243,43,200,2.5657975438155836,76.48501800449195,2.3594492886959375,7.188384081947506,3.8416568604482477,43.08556828593519
Nairobi,Westlands,2024-04-01 23:18:21.952240,283,28,254,4.8250878201153915,79.25857926537546,4.759955949885086,9.437545165851795,3.745804369284494,83.17111365847262
Nairobi,Westlands,2024-05-01 23:18:21.952240,232,36,195,2.448829275348018,78.76666334308896,3.2201554207678864,3.325483189207275,2.139334845801347,69.2989372139086
Nairobi,Westlands,2024-06-01 23:18:21.952240,210,41,168,2.364862612029903,94.62484645386694,3.972027833778927,4.501009245527281,3.1005363056244626,61.05093220835642
Nairobi,Westlands,2024-07-01 23:18:21.952240,187,40,146,4.150227262960228,92.60360358072208,2.272193464074413,5.729755781662814,4.765268420864829,77.20837137452429
Nairobi,Westlands,2024-08-01 23:18:21.952240,172,31,140,2.0374307380261696,72.5462493761311,2.883892360652045,7.135305880363232,6.162769526758218,63.51325956666634
Nairobi,Westlands,2024-09-01 23:18:21.952240,155,18,136,1.6174863578294016,72.59676173164327,2.561006999794818,5.150525661448887,7.43473577785751,62.227975977966594
Nairobi,Westlands,2024-10-01 23:18:21.952240,154,24,129,0.7944026996402885,86.91151048481642,3.5561706806783606,3.825077949826264,4.660960545846699,77.3246317002891
Nairobi,Westlands,2024-11-01 23:18:21.952240,197,27,170,2.3196542610054127,76.76160627855324,4.380584171088206,7.44111681113256,1.1323003899255761,60.97830931273967
Nairobi,Westlands,2024-12-01 23:18:21.952240,213,47,165,2.5878451152719357,85.08708792991652,1.1063585933374633,4.611325544074904,7.880572027779367,66.93801434801185
Nairobi,Westlands,2025-01-01 23:18:21.952240,212,41,170,4.337299504127905,85.38771641179656,2.6992211626043106,3.0413047131793105,4.068031007517616,50.06024115036144
Nairobi,Westlands,2025-02-01 23:18:21.952240,265,60,204,3.4665901207313703,77.57962599681697,4.828829776661047,5.273280059911234,4.287391193467896,66.33290333084754
Nairobi,Westlands,2025-03-01 23:18:21.952240,283,45,238,4.4597923299143485,79.77030608926414,4.655437649537342,9.748556769677474,3.7009813555401507,68.54514521851993
Nairobi,Westlands,2025-04-01 23:18:21.952240,266,45,221,4.090335521557604,74.4486200619012,1.335144561794742,3.559073019998795,3.9743713667911402,59.588163550752
Nairobi,Westlands,2025-05-01 23:18:21.952240,226,45,181,1.6940934265552905,91.5394245314564,2.8674912571898483,2.203553916325035,3.204354988867534,56.14775593520727
Nairobi,Westlands,2025-06-01 23:18:21.952240,237,40,196,3.0889762503138765,85.12372815322291,1.0975992909333288,7.666335381367046,6.61985502521474,47.79891779924599
Nairobi,Westlands,2025-07-01 23:18:21.952240,166,30,135,3.270654582435148,77.56953059279681,4.29854804008305,3.7589401306329044,1.912372767698853,57.40533391080563
Nairobi,Westlands,2025-08-01 23:18:21.952240,150,24,126,4.22754011314531,90.27467626178561,2.0992414532038595,8.147492411871522,1.4331365109973477,77.6171970576801
Nairobi,Westlands,2025-09-01 23:18:21.952240,162,40,122,4.798216121153642,70.5125510321004,3.377408842174079,2.393217400461368,6.392071559649619,46.602683482864066
Nairobi,Westlands,2025-10-01 23:18:21.952240,160,20,139,4.457400049411295,88.03594388373872,1.5531880613075773,3.402260780694373,1.6863342424262764,57.16935966553654
Nairobi,Westlands,2025-11-01 23:18:21.952240,196,46,149,2.494006151977076,73.56412525373439,2.2396256005779387,6.425740136553394,5.790172471182116,47.72416513770707
Nairobi,Westlands,2025-12-01 23:18:21.952240,207,42,165,2.0681729742839634,75.70003037191807,1.0724180723785972,4.756652138920038,2.561314508390342,79.80494862908505
Nairobi,Westlands,2026-01-01 23:18:21.952240,220,22,197,4.026262304787003,81.42121256562905,3.3266803809072782,9.862558140667982,7.181291090554351,62.72447387109803
Nairobi,Westlands,2026-02-01 23:18:21.952240,285,57,227,2.5685349055804116,73.98244960881141,2.7850443022410767,8.292674212899488,4.44652040175108,66.75306988863069
Nairobi,Dagoretti,2024-03-01 23:18:21.952240,230,54,175,1.7348071901354545,93.76779120596606,4.242802258639979,8.144680917002981,7.392668847328114,83.57901502269469
Nairobi,Dagoretti,2024-04-01 23:18:21.952240,249,56,192,2.537054396379398,88.71458995698725,3.7447860128897306,8.891127117638598,4.241089975534607,70.48432932348811
Nairobi,Dagoretti,2024-05-01 23:18:21.952240,236,44,191,2.774322255382624,72.69847008045942,2.895748812100216,4.506452458117431,4.9891588640999025,51.59765827556389
Nairobi,Dagoretti,2024-06-01 23:18:21.952240,223,30,193,3.160333073956715,72.32425997065691,1.7530328588777766,7.333897279458145,7.283827267058122,43.64917344104803
Nairobi,Dagoretti,2024-07-01 23:18:21.952240,140,34,106,4.637644440113348,87.2601964710366,1.640180123893645,9.176692204233841,1.5162891293816991,61.5020475505989
Nairobi,Dagoretti,2024-08-01 23:18:21.952240,140,32,107,2.1961224030507314,79.59278245970083,1.2511002999622765,8.001124374771631,1.7919183387844788,70.01189866632842
Nairobi,Dagoretti,2024-09-01 23:18:21.952240,134,26,107,4.918804869797102,87.07487039268207,2.006967434786544,9.00481264767274,6.805761154663022,83.89906638557375
Nairobi,Dagoretti,2024-10-01 23:18:21.952240,104,22,81,1.726515263532415,74.10758169985573,1.5199202807767116,3.0694274389401484,3.050553765272772,47.42976591126729
Nairobi,Dagoretti,2024-11-01 23:18:21.952240,162,18,144,2.106797351282609,91.4813972766953,2.8717009514549225,3.8533181501537044,3.6227885187210798,46.337533885093436
Nairobi,Dagoretti,2024-12-01 23:18:21.952240,201,44,156,0.758288614817177,88.15942647113019,3.5978246199612465,9.540872658462401,5.822417672962374,71.26726222213294
Nairobi,Dagoretti,2025-01-01 23:18:21.952240,234,53,181,3.0955846512436214,91.41443440312486,2.1215636188703852,9.141096097688893,5.37695135159482,73.0250667228939
Nairobi,Dagoretti,2025-02-01 23:18:21.952240,299,58,240,0.7978112694494537,86.76829810100705,3.861245807765259,9.089287865033992,1.8231111788048704,57.00348026955676
Nairobi,Dagoretti,2025-03-01 23:18:21.952240,282,29,252,1.1497484175170722,71.7340098142907,4.518289077668175,6.776847277613396,7.50232266651741,56.12706957543496
Nairobi,Dagoretti,2025-04-01 23:18:21.952240,280,40,239,3.74490142014449,79.17649913903011,3.8103074541931172,9.936424183716191,4.4488061269449695,63.027374356499344
Nairobi,Dagoretti,2025-05-01 23:18:21.952240,222,29,193,3.699988073730138,84.15342692058528,3.907189814863044,5.939376711141059,6.225656696458616,43.83657261905234
Nairobi,Dagoretti,2025-06-01 23:18:21.952240,198,25,172,2.8322732577365777,73.16671758779938,1.4346706198972758,8.22392312705507,3.774055238637096,49.39841562783217
Nairobi,Dagoretti,2025-07-01 23:18:21.952240,161,26,135,3.3542201146033346,71.6628221454557,2.691349752772124,5.198877533182955,6.953234765236725,53.30229087449898
Nairobi,Dagoretti,2025-08-01 23:18:21.952240,140,33,107,3.098250282750338,81.49364998065134,2.2191607482920315,8.283912051898529,2.4116061680577263,60.610934044059874
Nairobi,Dagoretti,2025-09-01 23:18:21.952240,137,14,122,2.0887934385084286,74.43467660207445,1.5326986847104016,9.672135828173385,5.136984774628828,63.244120238733856
Nairobi,Dagoretti,2025-10-01 23:18:21.952240,178,31,146,3.319580811795725,75.51693436283719,4.982002068742004,4.638565413643575,4.336220836943953,72.85442710047084
Nairobi,Dagoretti,2025-11-01 23:18:21.952240,161,18,143,3.575967618282483,71.23233852204415,2.152847201043478,8.38026200608372,3.3562835458643794,76.23337158858544
Nairobi,Dagoretti,2025-12-01 23:18:21.952240,219,30,188,3.8984253319692903,93.7903076721996,2.393823734994354,4.473435292698789,5.07405370507184,81.17180677958348
Nairobi,Dagoretti,2026-01-01 23:18:21.952240,189,24,165,3.7595173286683514,93.51806213098371,2.5727041952656764,4.54076134497337,4.474170345817187,63.57461538310814
